owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
airyland,vux,airyland/vux,17548,3685,Vue,80,6.0,rapid,13500,False,,,,,,,,,,,,,,
p0deje,Maccy,p0deje/Maccy,17537,783,Swift,87,18.0,rapid,6400,False,,,,,,,,,,,,,,
CopyTranslator,CopyTranslator,CopyTranslator/CopyTranslator,17503,1942,TypeScript,37,19.0,rapid,1400,False,,,,,,,,,,,,,,
nondanee,UnblockNeteaseMusic,nondanee/UnblockNeteaseMusic,17496,2488,JavaScript,57,8.0,rapid,1000,False,,,,,,,,,,,,,,
hellzerg,optimizer,hellzerg/optimizer,17482,1124,C#,138,7.0,rapid,3200,False,,,,,,,,,,,,,,
pouchdb,pouchdb,pouchdb/pouchdb,17466,1497,JavaScript,69,25.5,rapid,43300,False,,,,,,,,,,,,,,
pybind,pybind11,pybind/pybind11,17445,2233,C++,37,29.5,rapid,39000,False,,,,,,,,,,,,,,
oxc-project,oxc,oxc-project/oxc,17436,721,Rust,170,5.0,rapid,26700,False,,,,,,,,,,,,,,
bitwarden,server,bitwarden/server,17433,1475,C#,218,11.0,rapid,20300,False,,,,,,,,,,,,,,
navidrome,navidrome,navidrome/navidrome,17421,1244,Go,107,7.0,rapid,19900,False,,,,,,,,,,,,,,
redis,node-redis,redis/node-redis,17395,1932,TypeScript,155,18.0,rapid,28200,False,,,,,,,,,,,,,,
docker-mailserver,docker-mailserver,docker-mailserver/docker-mailserver,17391,1984,Shell,31,35.0,rapid,35400,False,,,,,,,,,,,,,,
commitizen,cz-cli,commitizen/cz-cli,17370,561,JavaScript,75,17.5,rapid,9400,False,,,,,,,,,,,,,,
openzipkin,zipkin,openzipkin/zipkin,17349,3107,Java,98,18.0,rapid,13900,False,,,,,,,,,,,,,,
Tencent,vConsole,Tencent/vConsole,17341,2975,TypeScript,57,13.0,rapid,6900,True,2025-11-17T12:25:50.433725,18,0,592,3821,0.0,0.4,7036,1167,935,4.0,1.0,1.0,OK
