owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
wolfpld,tracy,13377,903,C++,22,21600,67,SLOW,67 dias (mediana) entre releases
tmuxinator,tmuxinator,13260,625,Ruby,54,15400,61.5,SLOW,61.5 dias (mediana) entre releases
carla-simulator,carla,13252,4300,C++,28,18900,57,SLOW,57 dias (mediana) entre releases
revel,revel,13239,1375,Go,24,15100,76,SLOW,76 dias (mediana) entre releases
python-pillow,Pillow,13191,2360,Python,61,48900,77,SLOW,77 dias (mediana) entre releases
oauth2-proxy,oauth2-proxy,13180,1914,Go,34,44400,59.5,SLOW,59.5 dias (mediana) entre releases
jedisct1,libsodium,13154,1831,C,33,14300,51,SLOW,51 dias (mediana) entre releases
FreshRSS,FreshRSS,13075,1048,PHP,63,34800,54.5,SLOW,54.5 dias (mediana) entre releases
gopherjs,gopherjs,13067,570,Go,22,7100,161,SLOW,161 dias (mediana) entre releases
isl-org,Open3D,12995,2494,C++,23,27100,98.0,SLOW,98.0 dias (mediana) entre releases
jonas,tig,12954,639,C,33,19400,146,SLOW,146 dias (mediana) entre releases
PrismJS,prism,12829,1354,JavaScript,42,39800,64.0,SLOW,64.0 dias (mediana) entre releases
apache,tvm,12817,3699,Python,24,108500,94.5,SLOW,94.5 dias (mediana) entre releases
uxsolutions,bootstrap-datepicker,12675,5986,JavaScript,20,38600,66.5,SLOW,66.5 dias (mediana) entre releases
google,or-tools,12674,2305,C++,51,19200,63.0,SLOW,63.0 dias (mediana) entre releases
mayswind,AriaNg,12662,1331,JavaScript,40,1800,66.5,SLOW,66.5 dias (mediana) entre releases
dail8859,NotepadNext,12657,760,C++,33,5400,53.0,SLOW,53.0 dias (mediana) entre releases
ninja-build,ninja,12438,1743,C++,27,32100,128.0,SLOW,128.0 dias (mediana) entre releases
cesanta,mongoose,12310,2862,C,48,16200,92,SLOW,92 dias (mediana) entre releases
fullstorydev,grpcurl,12217,551,Go,27,6300,77,SLOW,77 dias (mediana) entre releases
luanti-org,luanti,12073,2193,C++,36,116400,96,SLOW,96 dias (mediana) entre releases
piskelapp,piskel,12063,856,JavaScript,29,4200,54,SLOW,54 dias (mediana) entre releases
Yalantis,uCrop,12054,2228,Java,20,7200,250,SLOW,250 dias (mediana) entre releases
DLR-RM,stable-baselines3,12048,1989,Python,29,16800,63.0,SLOW,63.0 dias (mediana) entre releases
skypjack,entt,11861,1012,C++,36,8200,55.5,SLOW,55.5 dias (mediana) entre releases
xmartlabs,Eureka,11848,1319,Swift,35,17600,67,SLOW,67 dias (mediana) entre releases
vesoft-inc,nebula,11823,1273,C++,26,11700,65,SLOW,65 dias (mediana) entre releases
wenzhixin,bootstrap-table,11821,4402,MDX,35,36900,51.0,SLOW,51.0 dias (mediana) entre releases
LuckyPennySoftware,MediatR,11799,2186,C#,28,9000,99,SLOW,99 dias (mediana) entre releases
mas-cli,mas,11754,289,Swift,40,4600,54,SLOW,54 dias (mediana) entre releases
libevent,libevent,11715,3458,C,20,32800,104,SLOW,104 dias (mediana) entre releases
YOURLS,YOURLS,11662,2061,PHP,23,10400,229.0,SLOW,229.0 dias (mediana) entre releases
Shopify,toxiproxy,11659,479,Go,32,7900,74,SLOW,74 dias (mediana) entre releases
SubtitleEdit,subtitleedit,11559,1127,C#,66,17500,63.5,SLOW,63.5 dias (mediana) entre releases
RT-Thread,rt-thread,11541,5315,C,38,107300,86,SLOW,86 dias (mediana) entre releases
Z3Prover,z3,11529,1580,C++,51,36800,56.0,SLOW,56.0 dias (mediana) entre releases
google,sentencepiece,11438,1307,C++,29,10000,57.0,SLOW,57.0 dias (mediana) entre releases
taskflow,taskflow,11385,1332,C++,20,12800,106,SLOW,106 dias (mediana) entre releases
adnanh,webhook,11359,860,Go,32,6000,52.0,SLOW,52.0 dias (mediana) entre releases
doctrine,inflector,11345,138,PHP,23,9900,201.0,SLOW,201.0 dias (mediana) entre releases
snowie2000,mactype,11328,445,C++,22,1700,55,SLOW,55 dias (mediana) entre releases
jhy,jsoup,11279,2267,Java,20,13400,56,SLOW,56 dias (mediana) entre releases
pallets,jinja,11273,1683,Python,21,33400,74,SLOW,74 dias (mediana) entre releases
JamesNK,Newtonsoft.Json,11206,3313,C#,66,13600,61,SLOW,61 dias (mediana) entre releases
devicons,devicon,11204,2412,CSS,23,14500,63.0,SLOW,63.0 dias (mediana) entre releases
statsmodels,statsmodels,11089,3303,Python,30,46600,87,SLOW,87 dias (mediana) entre releases
tweepy,tweepy,11060,4601,Python,33,24800,68,SLOW,68 dias (mediana) entre releases
dompdf,dompdf,10987,1820,PHP,39,17200,73,SLOW,73 dias (mediana) entre releases
epicmaxco,vuestic-admin,10909,1795,Vue,22,6900,57,SLOW,57 dias (mediana) entre releases
cloudflare,quiche,10881,894,Rust,38,12600,56.0,SLOW,56.0 dias (mediana) entre releases
fdehau,tui-rs,10873,484,Rust,26,9600,65.5,SLOW,65.5 dias (mediana) entre releases
microsoft,STL,10872,1590,C++,22,25200,89.0,SLOW,89.0 dias (mediana) entre releases
kornia,kornia,10848,1070,Python,43,30100,57,SLOW,57 dias (mediana) entre releases
numba,numba,10727,1205,Python,23,40600,71.0,SLOW,71.0 dias (mediana) entre releases
mockery,mockery,10726,465,PHP,42,24500,55,SLOW,55 dias (mediana) entre releases
mathjax,MathJax,10678,1187,JavaScript,43,3800,66,SLOW,66 dias (mediana) entre releases
owncast,owncast,10655,1148,TypeScript,21,18200,72.0,SLOW,72.0 dias (mediana) entre releases
Automattic,node-canvas,10592,1189,JavaScript,20,18600,62.0,SLOW,62.0 dias (mediana) entre releases
phw,peek,10552,335,Vala,26,16500,51,SLOW,51 dias (mediana) entre releases
knockout,knockout,10539,1504,JavaScript,22,10200,117,SLOW,117 dias (mediana) entre releases
nasa,fprime,10525,1444,C++,36,22700,52.5,SLOW,52.5 dias (mediana) entre releases
foliojs,pdfkit,10483,1197,JavaScript,22,10400,104,SLOW,104 dias (mediana) entre releases
Cyan4973,xxHash,10478,864,C,25,11800,98.5,SLOW,98.5 dias (mediana) entre releases
AlessandroZ,LaZagne,10475,2107,Python,22,4700,112.0,SLOW,112.0 dias (mediana) entre releases
