owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
reduxjs,redux-thunk,reduxjs/redux-thunk,17739,1029,TypeScript,20,75.0,slow,5400,True,2025-11-16T17:42:52.772637,0,0,15,225,0.0,0.0,330,62,6,1.0,1.0,1.0,OK
RPCS3,rpcs3,RPCS3/rpcs3,17685,2137,C++,40,62.0,slow,36600,True,2025-11-16T17:43:18.234931,0,0,0,0,0.0,0.0,53,0,0,1.0,1.0,1.0,OK
aframevr,aframe,aframevr/aframe,17388,4249,JavaScript,32,63.0,slow,44500,True,2025-11-16T17:44:31.392180,193,1,5477,28841,0.0,7.6,43015,7313,3407,5.0,4.0,1.0,OK
apache,brpc,apache/brpc,17371,4072,C++,24,92.0,slow,28200,True,2025-11-16T17:43:54.065123,0,0,35,199,0.0,0.0,520,99,98,1.0,1.0,1.0,OK
pytorch,vision,pytorch/vision,17313,7176,Python,51,63.0,slow,66400,False,,,,,,,,,,,,,,
baomidou,mybatis-plus,baomidou/mybatis-plus,17193,4425,Java,38,65.0,slow,24700,False,,,,,,,,,,,,,,
OpenEmu,OpenEmu,OpenEmu/OpenEmu,17023,1308,Swift,27,98.0,slow,12700,True,2025-11-16T17:44:44.243334,0,0,13,17,0.0,0.0,2416,0,0,1.0,1.0,1.0,OK
tinygo-org,tinygo,tinygo-org/tinygo,16830,996,Go,47,50.5,slow,21900,True,2025-11-16T17:45:52.689946,29,0,1430,12595,0.0,7.0,109235,19605,17973,3.0,1.0,1.0,OK
leon-ai,leon,leon-ai/leon,16788,1410,TypeScript,20,58.0,slow,2100,True,2025-11-16T17:45:48.904282,35,0,684,3554,0.0,1.5,25682,3239,3383,5.0,1.0,1.0,OK
upx,upx,upx/upx,16739,1466,C++,20,81.5,slow,2100,True,2025-11-16T17:45:07.141909,8,0,125,1318,0.0,2.0,2216,385,675,5.0,1.0,1.0,OK
kubesphere,kubesphere,kubesphere/kubesphere,16714,2705,Go,28,100.0,slow,17600,True,2025-11-16T17:51:11.523180,0,36,1093,9779,0.0,11.9,113366,11578,11531,1.0,3.0,1.0,OK
desandro,masonry,desandro/masonry,16670,2093,HTML,22,85.0,slow,900,True,2025-11-16T17:45:34.955172,18,0,128,606,0.0,16.2,1612,91,39,3.0,1.0,1.0,OK
upptime,upptime,upptime/upptime,16655,999,JSON,39,64.0,slow,2200,True,2025-11-16T17:45:49.569475,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
uvdesk,community-skeleton,uvdesk/community-skeleton,16611,544,CSS,24,62.0,slow,4500,True,2025-11-16T17:46:29.142097,15,0,256,1568,0.0,0.7,11295,459,667,5.0,1.0,1.0,OK
slackhq,nebula,slackhq/nebula,16479,1075,Go,23,85.5,slow,7500,True,2025-11-16T17:46:48.893006,0,0,492,6211,0.0,11.4,32357,5565,6667,1.0,1.0,1.0,OK
asciinema,asciinema,asciinema/asciinema,16348,983,Rust,23,95.5,slow,6200,True,2025-11-16T17:46:44.475654,2,0,14,46,0.0,4.5,8466,877,483,3.0,1.0,1.0,OK
sqlc-dev,sqlc,sqlc-dev/sqlc,16322,966,Go,36,55.5,slow,23900,True,2025-11-16T17:52:59.303252,120,0,2908,25076,0.0,34.1,204463,24931,22969,3.0,1.0,1.0,OK
piskvorky,gensim,piskvorky/gensim,16270,4420,Python,44,54.0,slow,46200,True,2025-11-16T17:47:25.065042,54,1,1533,5058,0.0,6.6,65354,5981,5680,5.0,4.0,1.0,OK
