owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
google,deepvariant,google/deepvariant,3551,767,Python,24,133.0,slow,4000,True,2025-11-16T22:07:50.149425,0,0,1447,8441,0.0,4.2,48665,4778,4295,1.0,1.0,1.0,OK
cilium,pwru,cilium/pwru,3551,208,C,20,57.0,slow,5000,True,2025-11-16T22:08:32.492618,76,0,616,3264,0.0,6.7,3969,585,670,3.0,1.0,1.0,OK
LinShunKang,MyPerf4J,LinShunKang/MyPerf4J,3550,561,Java,24,53.0,slow,800,False,,,,,,,,,,,,,,
citusdata,pg_cron,citusdata/pg_cron,3548,231,C,23,142.0,slow,5800,True,2025-11-16T22:07:55.830210,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
thephpleague,fractal,thephpleague/fractal,3544,348,PHP,21,100.5,slow,9300,True,2025-11-16T22:08:17.802274,0,0,102,1106,0.0,18.0,6618,614,178,1.0,1.0,1.0,OK
ctimmerm,axios-mock-adapter,ctimmerm/axios-mock-adapter,3543,255,JavaScript,38,65.0,slow,7400,True,2025-11-16T22:08:18.583459,25,0,27,182,0.0,8.2,2531,547,111,3.0,1.0,1.0,OK
opendilab,DI-engine,opendilab/DI-engine,3542,417,Python,22,52.0,slow,5300,True,2025-11-16T22:10:42.224983,360,1,11818,63534,0.0,15.4,140868,17619,19498,5.0,4.0,1.0,OK
awslabs,deequ,awslabs/deequ,3540,573,Scala,30,83.5,slow,8100,False,,,,,,,,,,,,,,
tensorflow,hub,tensorflow/hub,3521,1651,Python,20,84.0,slow,10600,True,2025-11-16T22:08:59.970628,0,1,52,305,0.0,0.7,4991,790,616,1.0,4.0,1.0,OK
JamieMason,ImageOptim-CLI,JamieMason/ImageOptim-CLI,3513,127,TypeScript,20,127.0,slow,1800,True,2025-11-16T22:09:13.707056,0,0,31,187,0.0,0.0,615,104,61,1.0,1.0,1.0,OK
premake,premake-core,premake/premake-core,3511,642,C,20,104.0,slow,23700,True,2025-11-16T22:10:37.216050,778,1,666,3596,0.0,2.1,26256,1219,1129,5.0,4.0,1.0,OK
ueberauth,guardian,ueberauth/guardian,3503,386,Elixir,33,79.0,slow,17400,True,2025-11-16T22:09:15.329285,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
microsoft,hummingbird,microsoft/hummingbird,3499,286,Python,25,59.5,slow,3900,True,2025-11-16T22:10:21.555067,9,0,986,5224,0.0,5.8,15348,2800,2478,3.0,1.0,1.0,OK
vispy,vispy,vispy/vispy,3496,626,Python,40,53.0,slow,20600,True,2025-11-16T22:11:01.639765,61,0,1862,12302,0.0,2.4,62506,10379,9125,3.0,1.0,1.0,OK
opencontainers,runtime-spec,opencontainers/runtime-spec,3489,594,Go,21,82.0,slow,13000,True,2025-11-16T22:10:07.968321,0,0,1,8,0.0,0.0,718,17,20,1.0,1.0,1.0,OK
